,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
0,Asger Hartvig Aaboe,M,26 April 1922,1922.0,"Copenhagen, Denmark",Denmark,19 January 2007,2007.0,"North Haven, Connecticut, USA",United States,Ph.D.,Ph.D.,Brown University,United States,1957.0,1.0,['01'],1954.0,19.0,1.0,4.0,5.0,Asger Aaboe was a Danish mathematician who is known for his contributions to the history of ancient Babylonian astronomy.
1,Ernst Abbe,M,23 January 1840,1840.0,"Eisenach, Grand Duchy of Saxe-Weimar-Eisenach (now in Germany)",Germany,14 January 1905,1905.0,"Jena, Germany",Germany,Dr. phil.,Ph.D.,Georg-August-Universität Göttingen,Germany,1861.0,,,,,1.0,2.0,10.0,Ernst Abbe was a German instument maker who made important improvements in lens design.
2,Edwin Abbott Abbott,M,20 December 1838,1838.0,"Marylebone, Middlesex, England",United Kingdom,12 October 1926,1926.0,"Hampstead, London, England",United Kingdom,,,,,,1.0,['01'],1991.0,7.0,,,,Edwin Abbott was an English schoolmaster who wrote the popular book Flatland as an introduction to higher dimensions.
3,Niels Henrik Abel,M,5 August 1802,1802.0,"Frindöe (near Stavanger), Norway",Norway,6 April 1829,1829.0,"Froland, Norway",Norway,,,Universitetet i Oslo,Norway,1822.0,1.0,"['01', '15']",1826.0,25.0,0.0,0.0,0.0,Niels Abel was a Norwegian mathematician who proved the impossibility of solving algebraically the general equation of the fifth degree.
4,Pedro Abellanas Cebollero,M,20 November 1914,1914.0,"Zaragoza, Spain",Spain,29 July 1999,1999.0,"Madrid, Spain",Spain,Ph.D.,Ph.D.,Universidad de Madrid,Spain,1941.0,14.0,"['14', '48', '00', '32', '09', '01', '69', '58', '55', '52', '50', '46', '20', '18', '16', '15', '04']",1942.0,45.0,1.0,22.0,390.0,Pedro Abellanas was a Spanish mathematician who worked in algebraic geometry and wrote many important text-books.
5,Shreeram Shankar Abhyankar,M,22 July 1930,1930.0,"Ujjain, India",India,2 November 2012,2012.0,"West Lafayette, Indiana, USA",India,Ph.D.,Ph.D.,Harvard University,United States,1956.0,14.0,"['14', '12', '13', '32', '05', '20', '09', '01', '00', '81', '18', '11', '90', '41', '15']",1954.0,190.0,1.0,29.0,62.0,Shreeram Shankar Abhyankar was an Indian-born American mathematician who worked in algebraic geometry.
6,Raimundo Chela Aboudib,M,17 November 1919,1919.0,"Carúpano, Sucre state, Venezuela",Venezuela,3 July 1984,1984.0,"Caracas, Venezuela",Venezuela,Ph.D.,Ph.D.,University of London,United Kingdom,1961.0,12.0,"['12', '03']",1963.0,2.0,1.0,0.0,0.0,Raimundo Chela was a Venezuelan mathematician who made a substantial contribution to improving the teaching of mathematics in Venezuela at all school and university levels.
7,Abraham bar Hiyya Ha-Nasi,M,1070,1070.0,Barcelona (now Spain),Spain,1136,1136.0,"Provence, France",France,,,,,,,,,,,,,Abraham bar Hiyya was a Spanish Jewish mathematician and astronomer. He wrote the first book to introduce Islamic algebra to Europe.
8,Max Abraham,M,26 March 1875,1875.0,"Danzig, Germany (now Gdańsk, Poland)",Germany,16 November 1922,1922.0,"Munich, Germany",Germany,Dr. phil.,Ph.D.,Universität Berlin,Germany,1897.0,,,,,1.0,0.0,0.0,Max Abraham was a German physicist who worked on electromagnetism and relativity.
9,Nicolae Abramescu,M,31 March 1884,1884.0,"Târgoviște, Dambovita County, Romania",Romania,11 February 1947,1947.0,"Cluj, Romania",Romania,,,,,,53.0,"['53', '48', '09']",1939.0,12.0,,,,Nicolae Abramescu was a Romanian mathematician who worked in descriptive geometry.
10,Abu Kamil Shuja ibn Aslam ibn Muhammad ibn Shuja,M,about 850,850.0,(possibly) Egypt,Egypt,about 930,930.0,,,,,,,,1.0,['01'],2012.0,1.0,,,,Abu Kamil Shuja was an Islamic mathematician. He was one of Al-Khwarismi's successors and applied algebraic methods to geometric problems.
11,Mohammad Abu'l-Wafa Al-Buzjani,M,10 June 0940,940.0,"Buzjan (near Jam), Khorasan region (now in Iran)",Iran,15 July 998,998.0,Baghdad (now in Iraq),Iraq,,,,,,1.0,['01'],1966.0,2.0,,,,Abu'l-Wafa was an Islamic astronomer and mathematician who wrote commentaries on the works of earlier mathematicians. He made astronomical observations and constructed accurate trigonometric tables.
